available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands,status
9,14:49:53,SMITHFIELD NORTH,53.349562,-6.278198,21,30,OPEN
18,14:48:52,PARNELL SQUARE NORTH,53.353462,-6.265305,2,20,OPEN
22,14:47:10,CLONMEL STREET,53.336021,-6.26298,10,33,OPEN
23,14:45:01,MOUNT STREET LOWER,53.33796,-6.24153,17,40,OPEN
0,14:47:00,CHRISTCHURCH PLACE,53.343368,-6.27012,20,20,OPEN
7,14:51:34,GRANTHAM STREET,53.334123,-6.265436,23,30,OPEN
27,14:51:29,PEARSE STREET,53.344304,-6.250427,3,30,OPEN
11,14:47:07,YORK STREET EAST,53.338755,-6.262003,21,32,OPEN
33,14:51:17,EXCISE WALK,53.347777,-6.244239,6,40,OPEN
26,14:51:21,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,4,30,OPEN
9,14:51:36,PORTOBELLO ROAD,53.330091,-6.268044,21,30,OPEN
18,14:50:42,ST. JAMES HOSPITAL (CENTRAL),53.339983,-6.295594,22,40,OPEN
11,14:43:30,PARNELL STREET,53.350929,-6.265125,9,20,OPEN
23,14:44:28,FREDERICK STREET SOUTH,53.341515,-6.256853,1,30,OPEN
5,14:49:55,FOWNES STREET UPPER,53.344603,-6.263371,23,30,OPEN
13,14:50:51,CLARENDON ROW,53.340927,-6.262501,18,31,OPEN
16,14:49:59,CUSTOM HOUSE,53.348279,-6.254662,14,30,OPEN
39,14:51:10,HANOVER QUAY,53.344115,-6.237153,1,40,OPEN
0,14:42:45,OLIVER BOND STREET,53.343893,-6.280531,30,30,OPEN
3,14:47:54,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,35,38,OPEN
2,14:43:05,BROOKFIELD ROAD,53.339005,-6.300217,28,30,OPEN
0,12:00:49,BENSON STREET,53.344153,-6.233451,0,40,CLOSED
27,14:50:54,EARLSFORT TERRACE,53.334019,-6.258371,3,30,OPEN
4,14:51:26,GOLDEN LANE,53.340803,-6.267732,16,20,OPEN
3,14:49:06,DEVERELL PLACE,53.351464,-6.255265,27,30,OPEN
2,14:49:48,JOHN STREET WEST,53.343105,-6.277167,29,31,OPEN
