available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands,status
5,17:36:39,SMITHFIELD NORTH,53.349562,-6.278198,25,30,OPEN
18,17:34:39,PARNELL SQUARE NORTH,53.353462,-6.265305,2,20,OPEN
0,17:37:27,CLONMEL STREET,53.336021,-6.26298,33,33,OPEN
0,17:36:19,MOUNT STREET LOWER,53.33796,-6.24153,40,40,OPEN
0,17:33:56,CHRISTCHURCH PLACE,53.343368,-6.27012,20,20,OPEN
0,17:37:22,GRANTHAM STREET,53.334123,-6.265436,30,30,OPEN
26,17:36:34,PEARSE STREET,53.344304,-6.250427,4,30,OPEN
0,17:34:33,YORK STREET EAST,53.338755,-6.262003,32,32,OPEN
27,17:36:50,EXCISE WALK,53.347777,-6.244239,13,40,OPEN
19,17:35:07,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,11,30,OPEN
2,17:36:54,PORTOBELLO ROAD,53.330091,-6.268044,28,30,OPEN
5,17:29:08,ST. JAMES HOSPITAL (CENTRAL),53.339983,-6.295594,35,40,OPEN
20,17:36:28,PARNELL STREET,53.350929,-6.265125,0,20,OPEN
17,17:36:15,FREDERICK STREET SOUTH,53.341515,-6.256853,13,30,OPEN
8,17:37:14,FOWNES STREET UPPER,53.344603,-6.263371,22,30,OPEN
17,17:36:43,CLARENDON ROW,53.340927,-6.262501,14,31,OPEN
25,17:37:32,CUSTOM HOUSE,53.348279,-6.254662,3,30,OPEN
0,17:34:17,HANOVER QUAY,53.344115,-6.237153,40,40,OPEN
16,17:36:48,OLIVER BOND STREET,53.343893,-6.280531,14,30,OPEN
4,17:37:27,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,34,38,OPEN
13,17:30:54,BROOKFIELD ROAD,53.339005,-6.300217,17,30,OPEN
0,17:36:01,BENSON STREET,53.344153,-6.233451,0,40,CLOSED
0,17:29:42,EARLSFORT TERRACE,53.334019,-6.258371,30,30,OPEN
2,17:33:51,GOLDEN LANE,53.340803,-6.267732,18,20,OPEN
16,17:30:50,DEVERELL PLACE,53.351464,-6.255265,14,30,OPEN
1,17:37:18,JOHN STREET WEST,53.343105,-6.277167,30,31,OPEN
28,17:36:14,FENIAN STREET,53.341428,-6.24672,7,35,OPEN
5,17:37:29,SOUTH DOCK ROAD,53.341833,-6.231291,25,30,OPEN
20,17:35:35,CITY QUAY,53.346637,-6.246154,10,30,OPEN
13,17:37:24,EXCHEQUER STREET,53.343034,-6.263578,11,24,OPEN
11,17:36:49,THE POINT,53.346867,-6.230852,29,40,OPEN
0,17:37:16,HATCH STREET,53.33403,-6.260714,36,36,OPEN
0,17:36:51,LIME STREET,53.346026,-6.243576,40,40,OPEN
18,17:37:34,CHARLEMONT PLACE,53.330662,-6.260177,22,40,OPEN
7,17:36:31,KILMAINHAM GAOL,53.342113,-6.310015,33,40,OPEN
3,17:37:12,HARDWICKE PLACE,53.357043,-6.263232,22,25,OPEN
13,17:37:01,WOLFE TONE STREET,53.348875,-6.267459,16,29,OPEN
2,17:35:29,FRANCIS STREET,53.342081,-6.275233,28,30,OPEN
1,17:37:29,GREEK STREET,53.346874,-6.272976,19,20,OPEN
24,17:37:23,GUILD STREET,53.347932,-6.240928,16,40,OPEN
0,17:37:38,HERBERT PLACE,53.334432,-6.245575,30,30,OPEN
0,17:37:16,HIGH STREET,53.343565,-6.275071,29,29,OPEN
26,17:36:11,NORTH CIRCULAR ROAD,53.359624,-6.260348,4,30,OPEN
7,17:34:57,WESTERN WAY,53.354929,-6.269425,33,40,OPEN
25,17:37:37,TALBOT STREET,53.350974,-6.25294,15,40,OPEN
14,17:37:18,NEWMAN HOUSE,53.337132,-6.26059,26,40,OPEN
6,17:37:16,SIR PATRICK DUN'S,53.339218,-6.240642,34,40,OPEN
1,17:37:26,NEW CENTRAL BANK,53.347122,-6.234749,39,40,OPEN
5,17:28:50,GRANGEGORMAN LOWER (CENTRAL),53.355173,-6.278424,35,40,OPEN
5,17:37:00,KING STREET NORTH,53.350291,-6.273507,25,30,OPEN
3,17:37:29,HERBERT STREET,53.335742,-6.24551,37,40,OPEN
9,17:36:52,CUSTOM HOUSE QUAY,53.347884,-6.248048,21,30,OPEN
6,17:33:25,MOLESWORTH STREET,53.341288,-6.258117,14,20,OPEN
20,17:35:19,GEORGES QUAY,53.347508,-6.252192,0,20,OPEN
1,17:37:06,KILMAINHAM LANE,53.341805,-6.305085,29,30,OPEN
1,17:35:19,MOUNT BROWN,53.341645,-6.29719,21,22,OPEN
20,17:37:36,MARKET STREET SOUTH,53.342296,-6.287661,18,38,OPEN
5,17:37:12,KEVIN STREET,53.337757,-6.267699,35,40,OPEN
0,17:34:30,ECCLES STREET EAST,53.358115,-6.265601,27,27,OPEN
0,17:37:21,GRAND CANAL DOCK,53.342638,-6.238695,40,40,OPEN
16,17:35:50,MERRION SQUARE EAST,53.339434,-6.246548,14,30,OPEN
3,17:37:06,YORK STREET WEST,53.339334,-6.264699,37,40,OPEN
2,17:36:34,ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,28,30,OPEN
1,17:33:05,DENMARK STREET GREAT,53.35561,-6.261397,19,20,OPEN
7,17:36:34,ROYAL HOSPITAL,53.343897,-6.29706,33,40,OPEN
18,17:31:25,HEUSTON STATION (CAR PARK),53.346985,-6.297804,22,40,OPEN
11,17:32:24,GRANGEGORMAN LOWER (NORTH),53.355954,-6.278378,25,36,OPEN
18,17:37:36,ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,22,40,OPEN
28,17:37:21,HEUSTON STATION (CENTRAL),53.346603,-6.296924,12,40,OPEN
14,17:37:08,TOWNSEND STREET,53.345922,-6.254614,6,20,OPEN
0,17:32:59,GEORGES LANE,53.35023,-6.279696,40,40,OPEN
10,17:30:19,ECCLES STREET,53.359246,-6.269779,10,20,OPEN
1,17:37:31,PORTOBELLO HARBOUR,53.330362,-6.265163,29,30,OPEN
6,17:34:36,MATER HOSPITAL,53.359967,-6.264828,34,40,OPEN
